"year","Wine_mhl","tm_fl_y1_c15","tm_fl_y1_b10","tm_fl_y1_a10","tm_fl_y0_b10","tm_fl_y0_a10","tm_bb_y0_a15","tm_bb_y0_a30","tm_sm_y1_c20","tm_sm_y0_a20","tm_sm_y0_b20","tm_hv_y1_c10","tm_hv_y1_b20","tn_hv_y0_a30","tm.days.less.15_fl_y1_c15","tm.days.less.15_fl_y1_b15","days_minTemp.less.0_bb_y1_c20","days.minTemp.less.0_bb_y1_a30","days.minTemp.less.0_fl_y1_a10","days.maxTemp.above.35_fl_y1_a10","days.maxTemp.above.35_fl_y1_a20","days.tempMax.above.35_sm_y1_b20","days.maxTemp.above.35_sm_y1_a20","rf_fl_y1_a10","rf_hv_y1_b10","rf_hv_y1_a10","days.rf.above.1mm_fl_y1_c15","days.rf.above.1mm_fl_y1_a20","days.rf.above.1mm_sm_y1_b20","days.rf.above.1mm_sm_y1_a20","days.rf.above.1mm_hv_y1_c10","days.rf.above.1mm_hv_y1_a10","iaf_bb_y1_c10","iaf_fl_y1_b10","iaf_fl_y1_b20","iaf_fl_y1_b30","iaf_fl_y1_a10","iaf_hv_y1_c10","iaf_fl_y0_b10","iaf_fl_y0_b20","iaf_fl_y0_b30","iaf_fl_y0_a10","swa_fl_y1_a15","swa_fl_y1_a30","swa_hv_y1_b20","swa_hv_y1_a20","swa_hv_y0_a15","swa_hv_y0_a20","sw.less.15wp_fl_y1_a10","sw.less.15wp_fl_y1_a20","sw.less.15wp_sm_y1_a10","sw.less.15wp_sm_y1_a20","sw.less.15wp_hv_y1_b20","sw.less.15wp_hv_y1_a20","sw.less.15wp_fl_y0_a10","sw.less.15wp_fl_y0_a20","sw.above.09fc_fl_y1_a10","sw.above.09fc_fl_y1_a20","sw.above.09fc_fl_y0_a10","sw.above.09fc_fl_y0_a20"
1954,2075.3,17.03,14.695,19.045,21.055,17.855,12.25,14.4383333333333,18.502380952381,17.965,23.5625,17.3909090909091,18.5125,18.34,6,7,2,0,0,0,0,0,0,0,0,51.3,5,0,9,5,3,7,0.158734134409673,2.25533488523883,2.13849088676231,1.94345417768817,2.40959338750061,0,2.15760337320046,1.93395558230532,1.70435955551213,2.42490263067671,187.425693537005,168.244044562171,66.8971808258666,94.2442795849445,103.460428568996,126.327202420284,10,20,10,20,20,20,10,20,10,20,10,20
1955,2259,16.93,16.645,18.205,14.695,19.045,13.4766666666667,16.2966666666667,21.5714285714286,22.3925,17.9175,19.9954545454545,22.2575,16.1,4,2,0,0,0,0,0,0,1,14.1,0,0,7,9,1,0,0,0,0.136735736375939,2.24508236698192,2.10659363476086,1.94374130275012,2.41122782979204,2.5165,2.25533488523883,2.13849088676231,1.94345417768817,2.40959338750061,108.64367911656,119.036484365222,31.0522746335882,25.3741604342597,87.5937892083934,94.2442795849445,10,20,10,20,20,20,10,20,10,20,10,20
1956,2250.2,17.0933333333333,16.06,17.555,16.645,18.205,13.5766666666667,16.075,16.4904761904762,16.4725,21.515,15.4863636363636,16.4175,18.8,1,7,0,0,0,0,0,0,0,0,33.3,0,2,1,7,8,3,0,0.0913648867068419,2.17897771063587,2.06265341852261,1.89018430178926,2.36659413251355,0,2.24508236698192,2.10659363476086,1.94374130275012,2.41122782979204,174.670037370161,159.34231577898,175.311762991071,172.953191401037,25.4753491420258,25.3741604342597,10,20,10,20,20,20,10,20,10,20,10,20
1957,1652.7,15.7266666666667,16.065,15.805,16.06,17.555,13.13,15.84,20.902380952381,19.8675,18.585,17.5818181818182,19.8675,11.5733333333333,5,3,0,0,0,0,0,1,0,21.1,36.1,9.3,4,6,3,2,3,2,0.123749474861097,2.2011880595633,2.05571741921634,1.87201178887374,2.35626703877097,2.5165,2.17897771063587,2.06265341852261,1.89018430178926,2.36659413251355,112.137353352771,111.557101569704,69.6912202855233,89.2099322166681,175.482073445709,172.953191401037,10,20,10,20,20,20,10,20,10,20,10,20
1958,1749.3,16.7633333333333,15.01,18.08,16.065,15.805,14.4633333333333,12.7716666666667,18.3404761904762,18.23,21.0275,16.9681818181818,17.26,15.63,4,11,0,0,0,0,0,0,0,0,0,0,5,4,12,7,0,0,0.0637812717216166,2.19536607159025,2.11730064998212,1.98197623022158,2.37838493778334,0,2.2011880595633,2.05571741921634,1.87201178887374,2.35626703877097,116.614097999934,126.29806459695,203.469012779176,190.75682872231,86.9369085535177,89.2099322166681,10,20,10,20,20,20,10,20,10,20,10,20
1959,1842.2,16.9466666666667,17.715,17.44,15.01,18.08,11.8633333333333,17.0466666666667,20.4285714285714,20.9275,17.17,19.2863636363636,21.105,13.6716666666667,3,4,0,0,0,0,0,0,0,6,45.4,15.5,6,4,2,3,6,3,0.100151672611032,2.17681217774814,2.00972235476061,1.76944226334534,2.37014674991284,2.5165,2.19536607159025,2.11730064998212,1.98197623022158,2.37838493778334,188.799545669948,171.790406727335,86.6744218046784,113.945455576679,193.209830088886,190.75682872231,10,20,10,20,20,20,10,20,10,20,10,20
1960,2880.1,19.8933333333333,20.625,18.635,17.715,17.44,13.2633333333333,13.2216666666667,18.1952380952381,18.0225,20.655,12.7318181818182,15.2175,17.0033333333333,1,5,0,0,0,0,0,0,0,9.1,93.6,227.8,3,2,7,2,6,10,0.105220002455167,2.16184729925791,1.93445169407173,1.75904081031132,2.41128786102129,0,2.17681217774814,2.00972235476061,1.76944226334534,2.37014674991284,118.816338251764,111.941198698532,246.110378892032,342.383109916969,109.31574141164,113.945455576679,10,20,10,20,20,20,10,20,10,20,10,20
1961,886.1,15.0566666666667,16.355,13.62,20.625,18.635,11.5033333333333,14.3066666666667,21.2857142857143,21.1075,17.315,19.0636363636364,21.1975,11.9366666666667,5,1,0,0,0,0,0,0,2,84.2,37.3,7.9,8,7,4,0,4,3,0.192454831070947,2.25216013664153,2.04534380909111,1.77375674594332,2.37474172112426,2.5165,2.16184729925791,1.93445169407173,1.75904081031132,2.41128786102129,204.517290449046,193.836439441274,66.6358852099601,99.8269225519361,343.043900813493,342.383109916969,10,20,10,20,20,20,10,20,10,20,10,20
1962,3442.9,18.62,18.71,18.21,16.355,13.62,13.8866666666667,12.4866666666667,21.1452380952381,19.9775,21.235,18.3,19.245,16.695,1,4,0,0,0,0,1,0,3,1.7,66.6,12.2,2,2,3,1,3,2,0.0757052399097744,2.16957519651594,1.98073000914872,1.75103254062836,2.40124766305283,0.915090909090909,2.25216013664153,2.04534380909111,1.77375674594332,2.37474172112426,90.2339281381245,86.0049646400494,55.5607318766837,93.9010523437329,90.2286471576391,99.8269225519361,10,20,10,20,20,20,10,20,10,20,10,20
1963,2478.4,19.02,17.145,20.19,18.71,18.21,11.8966666666667,14.6483333333333,17.1857142857143,18.7325,19.385,16.9227272727273,18.9475,16.2866666666667,0,5,0,0,0,0,0,0,0,0,0,36.1,3,0,1,5,1,3,0.0214782746591354,2.09606316375892,1.9339565247463,1.73188149723717,2.37252114061043,0,2.16957519651594,1.98073000914872,1.75103254062836,2.40124766305283,130.009053896358,121.334263527284,50.3083704158984,160.221320398189,93.1921116413023,93.9010523437329,10,20,10,20,20,20,10,20,10,20,10,20
