"rule_rank","support_pct","n_years_approx","pvalue","mean_deviation","stdev","direction","n_conditions","sentences","features","condition_3","raw_subgroup"
11,28.1,25,0.0158,118.802,194.727,"above-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 74.2 mm and 101 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[74.2|101)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
11,28.1,25,0.0158,118.802,194.727,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 10 days after Flowering (current year) is between 0 days and 0.643 days","days.maxTemp.above.35_fl_y1_a10",NA,"swa_hv_y1_b20=[74.2|101)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
12,22.5,20,0.0173,175.133,221.598,"above-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 74.2 mm and 101 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[74.2|101)|days.rf.above.1mm_hv_y0_a10=[0|2.27)"
12,22.5,20,0.0173,175.133,221.598,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 10 days after Harvest (previous year) is between 0 days and 2.27 days","days.rf.above.1mm_hv_y0_a10",NA,"swa_hv_y1_b20=[74.2|101)|days.rf.above.1mm_hv_y0_a10=[0|2.27)"
13,33.7,30,0.0174,99.004,161.717,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Flowering (current year) is between 0 days and 3.33 days","days.rf.above.1mm_fl_y1_a20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)"
14,30.3,27,0.0199,99.475,157.564,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Flowering (current year) is between 0 days and 3.33 days","days.rf.above.1mm_fl_y1_a20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
14,30.3,27,0.0199,99.475,157.564,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 10 days after Flowering (current year) is between 0 days and 0.643 days","days.maxTemp.above.35_fl_y1_a10",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
15,20.2,18,0.0199,114.231,159.216,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Flowering (current year) is between 0 days and 3.33 days","days.rf.above.1mm_fl_y1_a20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
15,20.2,18,0.0199,114.231,159.216,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Flowering (current year) is between 0 days and 1.29 days","days.maxTemp.above.35_fl_y1_a20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
15,20.2,18,0.0199,114.231,159.216,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Start of Maturity (current year) is between 0 days and 3.46 days","days.rf.above.1mm_sm_y1_a20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
16,30.3,27,0.0225,-120.273,196.093,"below-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 141 mm and 231 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[141|231]|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
16,30.3,27,0.0225,-120.273,196.093,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 3.66 days","days.tempMax.above.35_sm_y1_b20",NA,"swa_hv_y1_b20=[141|231]|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
