"rule_rank","support_pct","n_years_approx","pvalue","mean_deviation","stdev","direction","n_conditions","sentences","features","condition_3","raw_subgroup"
10,25,20,0.0397,-245.495,591.216,"below-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 61.5 mm and 97 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
10,25,20,0.0397,-245.495,591.216,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 1.91 days","days.tempMax.above.35_sm_y1_b20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
10,25,20,0.0397,-245.495,591.216,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Flowering (current year) is between 0 days and 1.14 days","days.maxTemp.above.35_fl_y1_a20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
11,20,16,0.0403,283.763,501.639,"above-trend",2,"Mean daily temperature in the 15 days after Bud Break (previous year) is between 9.16 °C and 12 °C","tm_bb_y0_a15",NA,"tm_bb_y0_a15=[9.16|12)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|sw.above.09fc_fl_y0_a20=[17.5|20]|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
11,20,16,0.0403,283.763,501.639,"above-trend",2,"Cold days (mean temperature below 15°C) in a 15-day window centred on Flowering (current year) is between 0 days and 3.4 days","tm.days.less.15_fl_y1_c15",NA,"tm_bb_y0_a15=[9.16|12)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|sw.above.09fc_fl_y0_a20=[17.5|20]|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
11,20,16,0.0403,283.763,501.639,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Start of Maturity (current year) is between 0 days and 2.37 days","days.maxTemp.above.35_sm_y1_a20",NA,"tm_bb_y0_a15=[9.16|12)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|sw.above.09fc_fl_y0_a20=[17.5|20]|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
11,20,16,0.0403,283.763,501.639,"above-trend",2,"Wet-soil days (soil water above 0.9× field capacity) in the 20 days after Flowering (previous year) is between 17.5 days and 20 days","sw.above.09fc_fl_y0_a20",NA,"tm_bb_y0_a15=[9.16|12)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|sw.above.09fc_fl_y0_a20=[17.5|20]|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
11,20,16,0.0403,283.763,501.639,"above-trend",2,"Frost days (minimum temperature below 0°C) in a 20-day window centred on Bud Break (current year) is between 0 days and 1.53 days","days_minTemp.less.0_bb_y1_c20",NA,"tm_bb_y0_a15=[9.16|12)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|sw.above.09fc_fl_y0_a20=[17.5|20]|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
12,20,16,0.0403,-319.375,572.066,"below-trend",2,"Wet days (daily rainfall above 1 mm) in a 15-day window centred on Flowering (current year) is between 5.67 days and 12 days","days.rf.above.1mm_fl_y1_c15",NA,"days.rf.above.1mm_fl_y1_c15=[5.67|12]|swa_fl_y1_a30=[140|227]"
12,20,16,0.0403,-319.375,572.066,"below-trend",2,"Available soil water in the 30 days after Flowering (current year) is between 140 mm and 227 mm","swa_fl_y1_a30",NA,"days.rf.above.1mm_fl_y1_c15=[5.67|12]|swa_fl_y1_a30=[140|227]"
