"Year","Wine_mhl","Fl_Y1_Tm_C","Fl_Y1_Tm_B1","Fl_Y1_Tm_A1","Fl_Y0_Tm_B1","Fl_Y0_Tm_A1","sM_Y1_Tm_C","sM_Y1_Tm_A1","sM_Y0_Tm_B1","H_Y1_Tm_C","H_Y1_Tm_B1","H_Y0_Tm_A1","Fl_Y1_Tmed_less_15_C","Fl_Y1_Tmed_less_15_B1","BB_Y1_Tmmin_less_0_C","FL_Y1_Tmmin_less_0_A1","FL_Y1_Tmmax_above_35_A1","FL_Y1_Tmmax_above_35_A2","sM_Y1_Tmmax_above_35_B1","sM_Y1_Tmmax_above_35_A1","FL_Y1_rs_A1","H_Y1_rs_B1","H_Y1_rs_A1","FL_Y1_rain_above_1mm_C","FL_Y1_rain_above_1mm_A1","sM_Y1_rain_above_1mm_B1","sM_Y1_rain_above_1mm_A1","H_Y1_rain_above_1mm_C","H_Y1_rain_above_1mm_A1","BB_Y1_Iaf_C","FL_Y1_Iaf_B1","FL_Y1_Iaf_B2","FL_Y1_Iaf_B3","FL_Y1_Iaf_A1","H_Y1_Iaf_C","FL_Y1_swa_A1","FL_Y1_swa_A2","H_Y0_swa_A1","H_Y0_swa_A2","FL_Y1_swc_Sm1.5Wp_A1","FL_Y1_swc_Sm1.5Wp_A2","H_Y1_swc_Sm1.5Wp_B1","H_Y1_swc_Sm1.5Wp_A1","FL_Y0_swc_Sm1.5Wp_A1","FL_Y0_swc_Sm1.5Wp_A2","FL_Y1_swc_Sm_0.9Fc_A1","FL_Y1_swc_Sm_0.9Fc_A2","FL_Y0_swc_Sm_0.9Fc_A1","FL_Y0_swc_Sm_0.9Fc_A2"
1955,1030.5,17.52,17.16,18.085,17.395,18.2775,21.8833333333333,23.535,21.445,23.0909090909091,24.855,18.5383333333333,1,1,1,0,0,0,0,3,1.8,3.7,0,4,4,4,4,1,0,0.0049729260398814,0.656704172891565,0.479193024391449,0.356263444865209,0.914037229553668,1.50989999999972,385.590378453181,381.040789477155,74.1563995520702,74.4368105425095,10,20,20,20,10,20,10,20,10,20
1956,1176.6,18.1166666666667,20.3,15.785,17.16,18.085,21.1214285714286,21.385,19.5775,17.3636363636364,17.9625,21.2983333333333,1,0,0,0,0,0,1,2,65,33.6,28.8,5,9,2,2,6,4,0.00860168084417218,0.619057816263688,0.477480904169604,0.352213461148701,0.88888046857168,0.549054545453542,400.870102359535,398.723583982207,74.9020027901972,74.6627449314416,10,20,20,20,10,20,10,20,10,20
1957,1058,16.4233333333333,15.825,17.835,20.3,15.785,22.6142857142857,22.365,22.0575,20.7681818181818,23.1025,13.33,1,4,0,0,0,0,2,0,0,0.5,18.4,5,2,2,2,3,4,0.00516080055607179,0.63337542639686,0.432138788505811,0.318879087915626,0.922265427359228,1.50989999999919,387.050573898727,381.736286332644,249.118066693947,250.289733360614,10,20,20,20,10,20,10,20,10,20
1958,809.4,18.5033333333333,18.57,18.61,15.825,17.835,19.4333333333333,21.3375,21.355,16.2272727272727,19.875,18.185,0,0,0,0,0,0,0,1,0.5,97.7,10.3,5,5,5,5,7,2,0,0.629903322119802,0.526785133881519,0.428144839606638,0.866969116457393,1.50989999999854,390.106350110666,388.171521677919,80.655435497638,81.9746561383087,10,20,20,20,10,20,10,20,10,20
1959,835.2,17.4666666666667,17.905,16.88,18.57,18.61,23.352380952381,24.925,18.5825,20.2954545454545,20.545,15.42,1,1,0,0,0,0,1,3,26.1,60,5.4,5,10,2,2,5,1,0.00134263507834168,0.615030726035037,0.426118297135961,0.297833679675839,0.904698309693805,1.50989999999909,400.99115932238,400.923547846387,223.583386447232,223.176704694949,10,20,20,20,10,20,10,20,10,20
1960,1285.6,16.5666666666667,17.045,15.41,17.905,16.88,22.3666666666667,21.0075,21.2325,18.85,21.23,18.3716666666667,3,2,0,0,0,0,3,0,71.5,15.1,34.8,4,7,3,3,4,5,0,0.61460690141906,0.47950451512084,0.384297237828343,0.881091325817563,1.50989999999884,397.64560351606,395.204987906372,188.552044383514,186.411465588846,10,20,20,20,10,20,10,20,10,20
1961,628.5,19.7233333333333,18.15,20.535,17.045,15.41,23.6333333333333,23.4475,22.0825,22.0045454545455,23.95,16.24,0,5,0,0,0,0,3,2,7.4,4,7.9,2,7,2,2,0,2,0,0.574815622879534,0.449376110413697,0.35052522923334,0.821830203737608,1.50989999999965,380.611943366544,379.483097810779,106.394016779259,123.303823728747,10,20,20,20,10,20,10,20,10,20
1962,1296.9,16.9033333333333,16.39,19.115,18.15,20.535,24.2119047619048,22.005,21.955,21.9545454545455,22.9475,19.735,3,2,0,0,0,0,5,2,0,0,26.2,0,2,4,4,1,3,0.00488090259232132,0.623180913352584,0.505582294628501,0.411889367358805,0.97183416609918,1.50989999999974,367.886924231326,363.071116774742,146.563168955243,141.776109433904,10,20,20,20,10,20,10,20,10,20
1963,1349.5,17.7633333333333,18.395,17.31,16.39,19.115,20.9214285714286,23.335,23,19.9227272727273,20.125,19.3333333333333,3,0,0,0,0,0,1,5,30.3,20.4,0,1,11,0,0,1,0,0,0.707847447771071,0.555491785789494,0.426503294445677,0.949663137571187,1.50989999999906,384.674856851805,390.015341795007,86.8374390788804,90.133284852532,10,20,20,20,10,20,10,20,10,20
1964,1334.4,22.0633333333333,20.585,22.64,18.395,17.31,22.5119047619048,21.8175,20.935,24.1136363636364,23.54,18.03501,0,0,0,0,2,2,0,0,0,0,1,0,3,4,4,0,1,0.000691060264960231,0.645194362845928,0.488160550252537,0.36054609031465,0.930721983306447,1.5098999999993,361.969269206264,359.080752065314,97.5964908993035,95.5231596476977,10,20,20,20,10,20,10,20,10,20
