Sup;Conf;Lift;Conv;Chi2;Lapl;Leve;Jacc;Cosi;Phi;MI;WRA;Entp;Gini;Cons;Ant
0.02;0.24390243902439024;1.1036309458117206;1.0302903225806452;0.27214785202302716;0.25;0.0018780000000000012;0.0706713780918728;0.1485685663800873;0.016496904316356673;0.5668207311088933;0.0018779999999999995;1.331759217991224E-4;4.685270205639913E-5;apples;grapes
0.03;0.24193548387096775;1.0947306962487229;1.0276170212765958;0.36037433464880725;0.24603174603174602;0.0025959999999999976;0.09523809523809523;0.18122340049635335;0.018983527982142995;0.18039281948426888;0.0025960000000000007;1.7686736787281276E-4;6.204168507883967E-5;apples;plums
0.066;0.2332155477031802;1.0552739715076027;1.0159308755760368;0.3421081626692708;0.23508771929824562;0.0034570000000000017;0.1506849315068493;0.26390923083420514;0.018496166161377108;0.039084601131810795;0.003456999999999997;1.6973892519805966E-4;5.889699917704938E-5;apples;potatoes
0.061;0.23193916349809887;1.0494984773669631;1.0142425742574257;0.24804287475811496;0.2339622641509434;0.0028769999999999976;0.14420803782505912;0.25302056659367583;0.015749376964125095;0.01847606660803508;0.002877000000000003;1.2310900930867508E-4;4.270281327556358E-5;apples;tomatoes
0.029;0.2283464566929134;1.0332418854882959;1.0095204081632654;0.04560532882874785;0.23255813953488372;9.329999999999998E-4;0.09090909090909091;0.17310116891332822;0.006753171760643127;0.16499747569734588;9.330000000000011E-4;2.265088166270024E-5;7.851367805788989E-6;apples;bananas
0.221;0.221;1.0;1.0;0.0;0.2215568862275449;0.0;0.221;0.47010637094172636;0.0;-1.0;0.0;0.0;0.0;apples;
0.04;0.21621621621621623;0.9783539195303902;0.9938965517241379;0.030173623909219068;0.2192513368983957;-8.849999999999969E-4;0.1092896174863388;0.19782354961231385;-0.005493052330828386;0.016794150469226454;-8.849999999999981E-4;1.5147870463971813E-5;5.194660918528271E-6;apples;oranges
0.039;0.20634920634920634;0.9337068160597571;0.98154;0.29055845780741435;0.2094240837696335;-0.0027690000000000006;0.10512129380053908;0.1908260093025333;-0.017045775365392278;0.013285982022971477;-0.0027690000000000024;1.4711530557676156E-4;5.002225353756273E-5;apples;onions
0.035;0.2;0.9049773755656109;0.97375;0.5433666235599333;0.2033898305084746;-0.0036749999999999977;0.09695290858725762;0.17797249266332252;-0.023310225729493324;0.029438226903772072;-0.003674999999999998;2.768270260062322E-4;9.354545454542951E-5;apples;carrots
0.053;0.15773809523809523;0.7137470372764491;0.9248904593639576;11.763213912746872;0.15976331360946747;-0.021256000000000004;0.10515873015873016;0.19449574025065894;-0.10845835105120713;0.1376154816951504;-0.021256000000000004;0.0061365718600222;0.002025143144004593;apples;confectionery
